,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,title,variety,winery
113317,113317,US,"Leather, shaved cocoa, smoked beef and purple fruit show on the nose of this wine. The palate offers touches of savory soy and smoked meat, but is dominated by sour boysenberry fruit.",,85,22.0,California,Santa Barbara County,Central Coast,Consilience 2013 Syrah (Santa Barbara County),Syrah,Consilience
12491,12491,US,"This young Artist Series Viognier spent seven months in once-used American oak barrels. The impression is of citrus, with a touch of sweetness and heavy barrel influence. There's a slightly burnt flavor, a hint of alcohol heat and a biting finish.",,86,19.0,Oregon,Oregon,Oregon Other,Merrill Cellars 2011 Viognier (Oregon),Viognier,Merrill Cellars
66458,66458,US,"Shafer's Merlot is very vintage driven, and this 2009 shows exceptionally ripe, sweet cherry and blueberry-pie flavors, enriched by 75% new French oak that brings toasty, spicy vanilla notes. It's flashy, opulent and delicious, but a bit forward and warm. Drink now.",,90,48.0,California,Napa Valley,Napa,Shafer 2009 Merlot (Napa Valley),Merlot,Shafer
88233,88233,US,"Bright aromas of jasmine, lime leaf and peach are followed by off-dry fruit flavors, with jasmine and stone fruit lingering on the finish. The concentration wavers in the middle but regains its balance.",,89,18.0,Washington,Columbia Valley (WA),Columbia Valley,Wine o'Clock 2014 Riesling (Columbia Valley (WA)),Riesling,Wine o'Clock
4718,4718,US,"This wine comes from Alexander Valley-grown Malbec, a variety the producer has been planting in earnest over the last few years. Dark pink-red, it is medium bodied and refreshing, with notes of cherry, blueberry and vanilla.",Rosé of,87,25.0,California,Sonoma County,Sonoma,Rodney Strong 2014 Rosé of Malbec (Sonoma County),Malbec,Rodney Strong
602,602,US,"There's plenty of ripe berry-cherry fruit, fine acids and big tannins on this Cab, but it just doesn't have the stuffing for the long haul. It is, however, a satisfying Cabernet, offering lots of elegance for drinking now and over the next few years.",,87,69.0,California,Oak Knoll District,Napa,Paoletti 2010 Cabernet Sauvignon (Oak Knoll District),Cabernet Sauvignon,Paoletti
18256,18256,US,"Plump aromas of white peach, lemon syrup, butterscotch and prominent oak show on the nose of this bottling, one of the richer ones in the current Talley lineup. The oak smoke flavors mix with vanilla and a finish of caramel on the palate, but the winery's reliably bright acidity hold the larger elements in check.",Rincon,92,44.0,California,Arroyo Grande Valley,Central Coast,Talley 2015 Rincon Chardonnay (Arroyo Grande Valley),Chardonnay,Talley
128064,128064,US,"This wine leans into the green side of the variety, with aromas of garden herbs, green pepper, dark chocolate and cherry. The palate brings abundant savory flavors along with chewy tannins.",,88,21.0,Washington,Columbia Valley (WA),Columbia Valley,Three Rivers 2012 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Three Rivers
104966,104966,US,"The only rosé made from Durell Vineyard, this one employs 100% Pinot Noir for a subtle, light, dry wine that's refreshing in strawberry and peach. Having spent six months in neutral French oak, it's structured and midweight, just right for the table.",Durell Vineyard,88,25.0,California,Sonoma Coast,Sonoma,Dunstan 2013 Durell Vineyard Rosé (Sonoma Coast),Rosé,Dunstan
35078,35078,Italy,"From the estate's Alfio Moriconi Selection range, this 90-10 blend of Sangiovese and Canaiolo opens with strange aromas of tar, resin and molten asphalt that appear behind the cherry fruit.",,83,19.0,Tuscany,Chianti Classico,,La Castellina 2007  Chianti Classico,Sangiovese,La Castellina
11687,11687,Spain,"No two ways about this, it's stalky and earthy on the nose, with mulchy, herbal notes. This feels pinchy and tannic, with roasted red-berry flavors that finish extremely earthy. Good mouthfeel and textural balance are saving graces.",Crianza,86,18.0,Northern Spain,Rioja,,Marques de Tomares 2011 Crianza  (Rioja),Tempranillo Blend,Marques de Tomares
34791,34791,Spain,"Nervy raspberry and cherry aromas come with a pinch of green herb. It feels astringent yet structured and crisp, with edgy red-berry and herb flavors. Lively, fiery and mildly acidic on the finish.",Alegre,85,13.0,Levante,Jumilla,,Torre Castillo 2010 Alegre Monastrell (Jumilla),Monastrell,Torre Castillo
10275,10275,Italy,"Here's a blend of 85% Merlot and Cabernet Sauvignon that offers succulent plum, black currant and prune flavors layered with notes of oak, spice and cocoa. While rich fruit and smooth tannins make this appealing now, fresh acidity gives this some staying power. Drink through 2020.",Ginepreta,89,50.0,Central Italy,Umbria,,Cirulli 2010 Ginepreta Red (Umbria),Red Blend,Cirulli
106357,106357,US,"From the producer's monumental Atlas Peak vineyard, this is a tightly wound, solidly constructed mountain Cab, blended with a handful of Petit Verdot. Tobacco, black tea and a sliver of coconut intermingle around a medium-bodied whole that will benefit from cellaring, through 2021.",Animo,91,85.0,California,Napa Valley,Napa,Michael Mondavi Family Estate 2011 Animo Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Michael Mondavi Family Estate
24565,24565,US,"Strong scents of mint and spice frame a burst of black-cherry fruit. It's followed with highlights of vanilla, coffee, cedar and mocha—suggesting that some innovative barrels were combined here. Overall, it's a potent and quite flavorful wine, ready to enjoy now through 2020.",Bradshaw Vineyard,91,40.0,Oregon,Willamette Valley,Willamette Valley,J. Scott Cellars 2014 Bradshaw Vineyard Pinot Noir (Willamette Valley),Pinot Noir,J. Scott Cellars
123195,123195,US,"A solid if uninspired Merlot, dry, tannic and balanced. Shows an earthy, dried herb edge to the berry-cherry and red currant fruit. Drink now.",Stagecoach Vineyard,87,40.0,California,Napa Valley,Napa,Miner 2007 Stagecoach Vineyard Merlot (Napa Valley),Merlot,Miner
31705,31705,Spain,"Despite some spearmint and Band-Aid on the nose, this ready-to-drink wine shows good quality from head to toe. The palate is on the lighter side, with nice acidity pushing smacky, lively red plum and raspberry flavors. Hints of tomato and citrus fruits also get into play.",Crianza,88,18.0,Northern Spain,Rioja,,Darien 2005 Crianza  (Rioja),Tempranillo,Darien
20773,20773,US,"The price is affordable, but this isn't a very satisfying wine. Despite fruity flavors, it's rough and bubble-gummy.",,82,11.0,California,California,California Other,Bogle 2009 Cabernet Sauvignon (California),Cabernet Sauvignon,Bogle
72178,72178,US,"Sporting a new label (the charming dog has made way for a Celtic rose), this estate-grown Syrah, co-fermented with 5% Viognier, is consistent with its predecessor, though it offers a slightly more concentrated core of red fruits. It's already showing well.",Murray,88,20.0,Washington,Red Mountain,Columbia Valley,Hightower 2012 Murray Syrah (Red Mountain),Syrah,Hightower
15072,15072,US,"Chardonnay grapes star in this rich bubbly. It's attractive in pear, orange, papaya and toast flavors, with a fine edge of sourdough yeast. The bubbles are a little scoury, but otherwise this is a good price for a vintage sparkling wine.",Blanc de Blancs,89,24.0,California,Carneros,Napa-Sonoma,Gloria Ferrer 2006 Blanc de Blancs Sparkling (Carneros),Sparkling Blend,Gloria Ferrer
116914,116914,US,"The nose is slightly unfocused, with mealy peach and unripe tropical fruit pervading. Medium bodied, the palate brings slightly stemmy, unripe flavors, with citrus and pineapple rind leading to an astringent finish.",,83,24.0,Virginia,Virginia,,Quiévremont 2012 Chardonnay (Virginia),Chardonnay,Quiévremont
88739,88739,US,"A 50-50 blend of Cabernet Franc and Petit Verdot, this wine shows aromas of ripe blackberries, spicy raspberry and warm vanilla. The palate seems a bit dichotomous, with ripe fruit on entry leading to a toasted oak character on the finish.",Zephyrus,85,45.0,Colorado,Grand Valley,,Anemoi 2013 Zephyrus Red (Grand Valley),Red Blend,Anemoi
65393,65393,France,"Smoky wine, rich as well as structured. The acidity of the year is integrated into the structure, the firm tannins and juicy red berry fruits a balanced pleasure to taste.",,91,25.0,Beaujolais,Moulin-à-Vent,,Richard Rottiers 2010  Moulin-à-Vent,Gamay,Richard Rottiers
23486,23486,US,"This is a softly delicious, immediately likeable Pinot. It's all about pie-filling raspberries and cherries and cola, with sweet toasted oak and fabulously exotic spices, leading to a dry finish. Defines in its own way coastal Pinot in its ripest, silkiest, drink-me-now incarnation.",Fogstone Vineyard,91,59.0,California,Santa Lucia Highlands,Central Coast,Testarossa 2010 Fogstone Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
46234,46234,US,"Black cherry, orange oil, fruitcake and vanilla wafer notes lead onto the medium-full palate, which takes on a slight edge of desiccated black fruit. This blend of Cabernet Franc, Petit Verdot, Tannat and Chambourcin has sturdy tannins and a finish of medium length.",Bacchanalia Reserve,85,22.0,Virginia,Virginia,,Old House 2010 Bacchanalia Reserve Red (Virginia),Red Blend,Old House
118110,118110,Italy,"Classic varietal aromas of crushed tomato vine, grapefruit and a whiff of aromatic herb take center stage. The grapefruit note carries over to the medium-bodied palate along with honeydew melon and a hint of mineral.",,88,70.0,Northeastern Italy,Collio,,Draga 2015 Sauvignon (Collio),Sauvignon,Draga
23759,23759,Spain,"Here's a subdued wine with mild vanilla, tobacco, dried plum and raspberry aromas. It's flush and fruity on the palate, with an open-knit feel and friendly flavors of raspberry, vanilla and tobacco. On the finish, mocha, pastry and toast elements enter the picture. Drink now through 2015.",Reserva,88,17.0,Northern Spain,Rioja,,Criadores de Rioja 2007 Reserva  (Rioja),Tempranillo Blend,Criadores de Rioja
61391,61391,Spain,"Ripe, earthy aromas of cola, coconut, blackberry and cassis are healthy and heady. Reflecting a warm year, this wine feels both flush and fleshy, with mild tannins. Flavors of blackberry, mocha and coffee finish clean, open and easy, with nothing overbearing. Drink through 2019.",Crianza,91,35.0,Northern Spain,Ribera del Duero,,Resalte 2012 Crianza  (Ribera del Duero),Tempranillo,Resalte
86510,86510,Italy,"This is dark and brooding, showing earthy aromas of tilled earth, leather and farmyard. The palate is big and ripe, with black fruit, nutmeg and white pepper flavors.",,87,15.0,Veneto,Valpolicella Classico Superiore Ripasso,,Scriani 2009  Valpolicella Classico Superiore Ripasso,Red Blend,Scriani
62235,62235,Argentina,"Stalky, roasted, horsey, baked-fruit aromas are mossy and muddled. Colomé always makes funky wines with true Salta character, but this one is soupy, thick and dense in feel, with herbal, savory, salty plum flavors. A dark, chunky, stewy finish concludes this unusual rendition of Malbec.",Estate,87,30.0,Other,Salta,,Colomé 2012 Estate Malbec (Salta),Malbec,Colomé
19091,19091,US,"This semi-sweet wine is dark in color, full bodied, peppery in aroma, and full of berry flavors on the palate. A thick texture coats the mouth with jammy sensations that slowly recede on the finish.",1924 Limited Edition Double Black,87,12.0,California,California,California Other,Gnarly Head 2015 1924 Limited Edition Double Black Red (California),Red Blend,Gnarly Head
72407,72407,US,"Nicely perfumed with a musky/grapey scent, this low alcohol (10.4%) sweet Riesling is pleasant and clean, but a bit attenuated. It has plenty of sugary honey and some simple canned peach fruit, but stops there.",Cellarmaster's,85,12.0,Washington,Columbia Valley (WA),Columbia Valley,Columbia Winery 2008 Cellarmaster's Riesling (Columbia Valley (WA)),Riesling,Columbia Winery
96953,96953,US,"Glimpses of sunny yellow peach and apple peek through layers of heady spice, vanilla and toast in this brisk but oaky Chardonnay. It's polished but spry, revitalized by a spray of zesty acidity through the midpalate and finish. Drink now through 2020.",Kaiser Vineyard Reserve,87,15.0,New York,Seneca Lake,Finger Lakes,Fox Run 2012 Kaiser Vineyard Reserve Chardonnay (Seneca Lake),Chardonnay,Fox Run
13557,13557,US,"From this Southern California appellation, a spicy, rustic wine that's very dry and full of charm. Flavors of wild berries are strong and tannins are supple. It's not very varietal, but it's a nice, friendly wine.",,84,16.0,California,Temecula,South Coast,Mount Palomar 1999 Syrah (Temecula),Syrah,Mount Palomar
18990,18990,US,"This lightly sweet and simple wine tastes straightforward, very fruity, soft in texture and light to medium in body.",Authentic,84,12.0,California,California,California Other,Gnarly Head 2015 Authentic Red (California),Red Blend,Gnarly Head
59532,59532,US,"Glimmers of minerality lend elegance to zesty white grapefruit, lemon and pear notes in this dry, full-bodied Pinot Gris. A brisk backbone of acidity balances nicely against a mouthfeel that's succulent and satisfying. Drink now through 2016.",,87,15.0,New York,Finger Lakes,Finger Lakes,Thirsty Owl Wine Company 2014 Pinot Gris (Finger Lakes),Pinot Gris,Thirsty Owl Wine Company
121070,121070,US,"Grown at the winery's estate vineyard high up in Annapolis, where the ocean looms large, this is a tannic, smoky wine, densely layered in blue and black fruit. Cola, sage and black tea await in the background.",,90,35.0,California,Sonoma Coast,Sonoma,Wild Ridge 2014 Pinot Noir (Sonoma Coast),Pinot Noir,Wild Ridge
26331,26331,France,"This structured wine also has attractive layers of ripe fruits. Black-currant freshness balances with a dry tannic core and a rich juicy texture. It's going to be ready to drink soon, so only wait until 2017.",,86,20.0,Bordeaux,Moulis-en-Médoc,,Château Pomeys 2013  Moulis-en-Médoc,Bordeaux-style Red Blend,Château Pomeys
8402,8402,US,"A 100% varietal wine aged in entirely new French oak, this is a big-bodied, grippy wine. It's slightly syrupy with ripe red fruit and a complexity of dried herb and cedar which makes it a fine representative of the relatively cooler appellation from which it comes.",Estate,92,150.0,California,Coombsville,Napa,Sodaro 2013 Estate Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,Sodaro
113053,113053,Italy,"Showing surprising structure for the vintage, this medium-bodied white offers aromas of honey, nut, pressed flower and peach. The flavors follow through to the vibrant palate, along with mineral and tangy acidity.",Marine,90,40.0,Piedmont,Colli Tortonesi,,Vigne Marina Coppi 2014 Marine Favorita (Colli Tortonesi),Favorita,Vigne Marina Coppi
92486,92486,US,"Unfiltered and broad shouldered, this is a fine expression of pure Merlot from the Walla Walla Valley. Though plenty ripe, the sweet fruit flavors have a pillowy elegance—the wine feels light but the flavors run deep.",,90,32.0,Washington,Walla Walla Valley (WA),Columbia Valley,Kontos 2009 Merlot (Walla Walla Valley (WA)),Merlot,Kontos
116588,116588,France,"This juicy, fruity while structured wine comes from the southern sector of the Médoc towards Bordeaux. It has a dry core of tannins surrounded by aromatic Cabernet spice and black currant fruit. Drink this still-developing wine from 2018.",,90,40.0,Bordeaux,Haut-Médoc,,Clos la Bohème 2012  Haut-Médoc,Bordeaux-style Red Blend,Clos la Bohème
112308,112308,France,"Slightly high-toned hints precede nuances of pear and lemon. The palate is light, dry and crisp, finishing with a fresh, clean lemon note.",Crustacés,86,12.0,Alsace,Alsace,,Dopff & Irion 2014 Crustacés White (Alsace),Alsace white blend,Dopff & Irion
221,221,Italy,"This opens with enticing aromas of chamomile flower, white peach and a whiff of Alpine herb. The elegant palate offers McIntosh apple, candied lemon and a vein of energizing mineral. Fresh acidity lends balance.",Passion Riserva,90,40.0,Northeastern Italy,Alto Adige,,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),Pinot Bianco,St. Pauls
64327,64327,France,"Surprisingly smoky and toasty upfront, but balanced by ample apricot fruit and hints of honey, pineapple and citrus zest. Despite its ripe, oaky nature, there's plenty of crisp acidity to provide structure and prolong the finish. Drink now–2016.",Les Rouelles,92,60.0,Rhône Valley,Condrieu,,Gilles Flacher 2011 Les Rouelles  (Condrieu),Viognier,Gilles Flacher
92437,92437,US,"Just what many people like, an oaky, ripe, sweet Chardonnay, but purists will find it simple and pandering to public taste.",,81,14.0,California,Napa Valley,Napa,Irony 2005 Chardonnay (Napa Valley),Chardonnay,Irony
8225,8225,US,"With mouthwatering acidity, a stony minerality, modest alcohol and complex peach, green apple and tropical fruit flavors, this Chardonnay shows a Burgundian approach despite its California origins. Bone dry, it has a precise, chiseled elegance.",Tinaquaic Vineyard,92,37.0,California,Santa Maria Valley,Central Coast,Foxen 2012 Tinaquaic Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Foxen
40423,40423,US,"Stiff and tannic, this wine's bold black-cherry flavor, which is characteristic of the Champoux Vineyard, is veined with iron and gravel notes, plus a clover hint. It's complex and riveting, and the tannins finish with a peppery bite.",Champoux Vineyard,92,55.0,Washington,Horse Heaven Hills,Columbia Valley,Januik 2009 Champoux Vineyard Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Januik
10381,10381,US,"While this Zin is high in alcohol, which gives it some peppery heat, it's dry and complex. The flavors range from ripe blackberry, blueberry and currant to dark chocolate, licorice and warm-climate Zin spice. The vineyard contains 80-year-old vines, grown in the mountains above the valley floor, which explains the wine's unique concentration.",Fredericks Vineyard,91,42.0,California,Sonoma Valley,Sonoma,Turley 2010 Fredericks Vineyard Zinfandel (Sonoma Valley),Zinfandel,Turley
128072,128072,US,"Aromas of vanilla extract, cocoa and fruit leather lead to full-feeling cherry, woodspice and barrel flavors. Mocha and cherry flavors show a good balance that carries through the finish.",,88,39.0,Washington,Walla Walla Valley (WA),Columbia Valley,Mosquito Fleet 2012 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Mosquito Fleet
105150,105150,US,"This is a classic, concentrated but elegant wine, from the wonderful black cherry and forest underbrush aromas to the ripe fruit flavors, full body and polished texture. Aging in 30% new Hungarian barrels gave a subtle spicy accent.",Estate,92,32.0,California,Carneros,Napa-Sonoma,Poseidon 2015 Estate Pinot Noir (Carneros),Pinot Noir,Poseidon
123311,123311,Spain,"This dark-colored, extracted Priorat smells largely of oak and mint on top of lightly herbal, green-leaning plum and currant. The palate is wiry, with citric acidity that creates tartness to go with monotone red-fruit flavors. Rough, tough and crisp on the finish, with tomatoey acidity and hard tannins.",Gotes del Priorat,86,23.0,Catalonia,Priorat,,Portal del Priorat 2014 Gotes del Priorat Grenache-Carignan (Priorat),Grenache-Carignan,Portal del Priorat
120081,120081,France,"This is a smooth-texture wine with a great future. It has acidity, ripe tannins, generous fruit and balance. As the wine develops, the rich red-berry fruit will show strongly. The wine is concentrated, with a solid base. Drink from 2025.",Les Algrots Premier Cru,94,45.0,Burgundy,Beaune,,Albert Morot 2015 Les Algrots Premier Cru  (Beaune),Pinot Noir,Albert Morot
3661,3661,US,"The blend is classic Bordeaux—85% Cabernet Sauvignon, 7% Merlot, 5% Cabernet Franc and 3% Malbec. It's got grip and a sensuous mix of wild herb, black olive and mountain berry. There is plenty of acid to support it, and winemaker J-F Pellet has been pulling back on the new oak, so that newer releases of Pepper Bridge are more structured and tilting more toward a European sensibility, which is to say, ageworthy.",,92,50.0,Washington,Columbia Valley (WA),Columbia Valley,Pepper Bridge 2004 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Pepper Bridge
28007,28007,Italy,"Made with no added sulfites, this has aromas suggesting resin and balsamic notes. The palate is almost overripe and rather evolved, offering dried apricot and crystallized ginger while a note of candied nectarine zest marks the close.",Senza Solfiti Aggiunti,86,15.0,Veneto,Soave,,Latium di Morini 2015 Senza Solfiti Aggiunti  (Soave),White Blend,Latium di Morini
50811,50811,US,"They call it east, because the grapes are from the Vaca Mountains, and the vineyard faces west. It's a splendid wine, classically proportioned, with rich, thick tannins that have true Napa refinement. The flavors are also classic, suggesting cassis and cedar, with a distinct smack of indescribable minerals. There's a lot of smoky new oak, but it's proportionate to the wine's power. This serious new Napa Cab is great now, and should develop for many years.",Exposure,95,125.0,California,Oakville,Napa,Oakville East 2005 Exposure Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Oakville East
34018,34018,Spain,"Licorice, leather, char and an overload of plum and berries are what greet you, and that's just the bouquet. In the mouth, this is thick, bruising stuff; the tannins are drawing and very tight, but the flavors of licorice, blackberry and chocolate are excellent. Finishes rock solid, which is to be expected given the wine's total package. If you can, hold until 2011 to let the tannins soften; it's meant for the cellar.",,91,28.0,Northern Spain,Toro,,Finca Anzil 2004  Toro,Tinta de Toro,Finca Anzil
82463,82463,Italy,"Polished and balanced, this elegant red opens with scents of rose, red berry, tilled earth and truffle. The firmly structured palate delivers juicy raspberry, crunchy red cherry, licorice and a hint of nutmeg alongside bright acidity and taut, refined tannins. Drink 2018–2030.",,92,40.0,Piedmont,Gattinara,,Nervi 2010  Gattinara,Nebbiolo,Nervi
77609,77609,US,"A 100% varietal wine fermented in stainless steel, this is a bright, lively tangle of cherry and orange built around bristling acidity that practically sizzles on the palate. Light-bodied and plenty crisp, it mellows to show length and breadth on the finish.",Woods Vineyard Rosé of,88,29.0,California,Russian River Valley,Sonoma,Ousterhout 2015 Woods Vineyard Rosé of Pinot Noir (Russian River Valley),Pinot Noir,Ousterhout
81207,81207,US,"This wine shows a very intriguing nose of iodine, preserved lemons, orange marmalade and dried daffodils. The palate is quite distinctive with dried jasmine flowers, dried lemon peels and a sour-orange element shining throughout.",Camp 4 Vineyard,91,24.0,California,Santa Barbara County,Central Coast,Standing Sun 2013 Camp 4 Vineyard Riesling (Santa Barbara County),Riesling,Standing Sun
15873,15873,US,"Warm spice, vanilla and cedar tones accent blackberry and cherry on the nose of this ripe, luxurious Merlot. Fleshy black fruits are densely concentrated on the palate, refreshed by a cool menthol breeze that extends through the finish. Powerful tannins linger.",,89,20.0,New York,North Fork of Long Island,Long Island,Benmarl 2013 Merlot (North Fork of Long Island),Merlot,Benmarl
82142,82142,US,"This solid, spicy and somewhat chewy Pinot is the most widely-available from the Trisaetum lineup. Hints of golden raisin, fig and plum lead into a smooth, chocolatey finish.",Willamette Valley,91,36.0,Oregon,Willamette Valley,Willamette Valley,Trisaetum 2015 Willamette Valley Pinot Noir (Willamette Valley),Pinot Noir,Trisaetum
42487,42487,US,"A fragrant Roussanne that could easily convince doubters that this variety does impressively stand on its own. Exuding honeysuckle, pear and honey, it's crisp and nicely textured with a depth and weight that gives it a sense of fullness but not fat.",Bonofiglio Vineyard,89,34.0,California,Mendocino County,,Campovida 2012 Bonofiglio Vineyard Roussanne (Mendocino County),Roussanne,Campovida
14510,14510,US,"Heady aromas of black cherry, red and purple flowers and a strong cinnamon, Red Hot candy-like spice show on the nose of this bottling from a winery recently reinvigorated thanks to winemaker Colin Murphy. Spicy red fruit flavors pop on the palate, which is framed by firm tannins and also shows rosewater, hibiscus and crushed gravel.",,88,30.0,California,Santa Ynez Valley,Central Coast,Koehler 2013 Sangiovese (Santa Ynez Valley),Sangiovese,Koehler
38940,38940,US,"Sweet-tart raspberry and cranberry aromas are lifted and spry on this fresh, aromatic Pinot Noir. The palate is markedly riper and richer, boasting dark cherry and berry flavors and heady spice tones that linger. Tannins are a bit craggy and bitter but finely grained.",,88,26.0,New York,Hudson River Region,New York Other,Tousey 2013 Pinot Noir (Hudson River Region),Pinot Noir,Tousey
117888,117888,US,"Lovely, lemony jasmine-tea scents and flavors abound in this delicate yet penetrating wine. Clean and fresh, it adds highlights of citrus rind without a trace of bitterness. Pure elegance.",Estate,92,26.0,Oregon,Eola-Amity Hills,Willamette Valley,Cristom 2010 Estate Viognier (Eola-Amity Hills),Viognier,Cristom
103308,103308,Italy,"This blend of Sangiovese, Cabernet Sauvignon and Merlot opens with earthy aromas of leather, tobacco and button mushroom, followed by fresh cherry. Crisp acidity makes this a good wine to pair with cheesy risotto or pork.",Amadio,87,23.0,Tuscany,Toscana,,Buccia Nera 2007 Amadio Red (Toscana),Red Blend,Buccia Nera
122301,122301,US,"Marked by strong acidity and minerality, this is an austere Chardonnay for drinking now. With a citrus flavor and a dry, honeyed richness, this sits on the elegant side of the Chardonnay spectrum.",Affiné Split Rock Vineyard,89,31.0,California,Sonoma Coast,Sonoma,Bryter 2010 Affiné Split Rock Vineyard Chardonnay (Sonoma Coast),Chardonnay,Bryter
75446,75446,US,"Not a whole lot of oomph in this dry, unidimensional Merlot. It's properly structured, with fine acids and tannins, but the cherry and currant fruit is diluted.",,85,20.0,California,Santa Ynez Valley,Central Coast,Gainey 2006 Merlot (Santa Ynez Valley),Merlot,Gainey
23580,23580,US,"Crisp and luscious, this coastal Chardonnay shows off its cool-climate origins and fine vintage. Displays ripe pineapple tart, green apple butter and flamboyant lime flavors, enriched with sweet smoky oak, and balanced with clean, citrusy acidity.",Golden Coast,93,45.0,California,Sonoma Coast,Sonoma,De Loach 2007 Golden Coast Chardonnay (Sonoma Coast),Chardonnay,De Loach
120260,120260,Italy,"Truffle, leather, Mediterranean brush, chopped herb and black-skinned fruit aromas meld together with a balsamic note. The juicy, concentrated palate shows dried cherry, crushed raspberry, cinnamon and licorice while fine-grained tannins lend support. Give it time for the tannins to fully integrate. Drink 2020–2030.",,92,60.0,Tuscany,Brunello di Montalcino,,La Magia 2012  Brunello di Montalcino,Sangiovese,La Magia
