,country,description,designation,points,price,province,region_1,region_2,title,variety,winery,town,lat,lng
48,US,"A 100% varietal wine aged in entirely new French oak, this is a big-bodied, grippy wine. It's slightly syrupy with ripe red fruit and a complexity of dried herb and cedar which makes it a fine representative of the relatively cooler appellation from which it comes.",Estate,92,150.0,California,Coombsville,Napa,Sodaro 2013 Estate Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,Sodaro,Posey,35.834426,-118.617401
51,France,"This juicy, fruity while structured wine comes from the southern sector of the Médoc towards Bordeaux. It has a dry core of tannins surrounded by aromatic Cabernet spice and black currant fruit. Drink this still-developing wine from 2018.",,90,40.0,Bordeaux,Haut-Médoc,,Clos la Bohème 2012  Haut-Médoc,Bordeaux-style Red Blend,Clos la Bohème,Bordeaux,44.84044,-0.5805
55,US,"Just what many people like, an oaky, ripe, sweet Chardonnay, but purists will find it simple and pandering to public taste.",,81,14.0,California,Napa Valley,Napa,Irony 2005 Chardonnay (Napa Valley),Chardonnay,Irony,California City,35.134968,-117.963781
56,US,"With mouthwatering acidity, a stony minerality, modest alcohol and complex peach, green apple and tropical fruit flavors, this Chardonnay shows a Burgundian approach despite its California origins. Bone dry, it has a precise, chiseled elegance.",Tinaquaic Vineyard,92,37.0,California,Santa Maria Valley,Central Coast,Foxen 2012 Tinaquaic Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Foxen,Santa Maria,34.878189,-120.452242
60,US,"This is a classic, concentrated but elegant wine, from the wonderful black cherry and forest underbrush aromas to the ripe fruit flavors, full body and polished texture. Aging in 30% new Hungarian barrels gave a subtle spicy accent.",Estate,92,32.0,California,Carneros,Napa-Sonoma,Poseidon 2015 Estate Pinot Noir (Carneros),Pinot Noir,Poseidon,Palmdale,34.566792,-118.056549
61,Spain,"This dark-colored, extracted Priorat smells largely of oak and mint on top of lightly herbal, green-leaning plum and currant. The palate is wiry, with citric acidity that creates tartness to go with monotone red-fruit flavors. Rough, tough and crisp on the finish, with tomatoey acidity and hard tannins.",Gotes del Priorat,86,23.0,Catalonia,Priorat,,Portal del Priorat 2014 Gotes del Priorat Grenache-Carignan (Priorat),Grenache-Carignan,Portal del Priorat,Falset,41.1460403,0.8174501
62,France,"This is a smooth-texture wine with a great future. It has acidity, ripe tannins, generous fruit and balance. As the wine develops, the rich red-berry fruit will show strongly. The wine is concentrated, with a solid base. Drink from 2025.",Les Algrots Premier Cru,94,45.0,Burgundy,Beaune,,Albert Morot 2015 Les Algrots Premier Cru  (Beaune),Pinot Noir,Albert Morot,Beaune,47.03333,4.83333
64,Italy,"Made with no added sulfites, this has aromas suggesting resin and balsamic notes. The palate is almost overripe and rather evolved, offering dried apricot and crystallized ginger while a note of candied nectarine zest marks the close.",Senza Solfiti Aggiunti,86,15.0,Veneto,Soave,,Latium di Morini 2015 Senza Solfiti Aggiunti  (Soave),White Blend,Latium di Morini,Soave,45.41955,11.24594
65,US,"They call it east, because the grapes are from the Vaca Mountains, and the vineyard faces west. It's a splendid wine, classically proportioned, with rich, thick tannins that have true Napa refinement. The flavors are also classic, suggesting cassis and cedar, with a distinct smack of indescribable minerals. There's a lot of smoky new oak, but it's proportionate to the wine's power. This serious new Napa Cab is great now, and should develop for many years.",Exposure,95,125.0,California,Oakville,Napa,Oakville East 2005 Exposure Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Oakville East,Napa,38.4559,-122.363464
67,Italy,"Polished and balanced, this elegant red opens with scents of rose, red berry, tilled earth and truffle. The firmly structured palate delivers juicy raspberry, crunchy red cherry, licorice and a hint of nutmeg alongside bright acidity and taut, refined tannins. Drink 2018–2030.",,92,40.0,Piedmont,Gattinara,,Nervi 2010  Gattinara,Nebbiolo,Nervi,Gattinara,45.61309,8.36463
69,US,"This wine shows a very intriguing nose of iodine, preserved lemons, orange marmalade and dried daffodils. The palate is quite distinctive with dried jasmine flowers, dried lemon peels and a sour-orange element shining throughout.",Camp 4 Vineyard,91,24.0,California,Santa Barbara County,Central Coast,Standing Sun 2013 Camp 4 Vineyard Riesling (Santa Barbara County),Riesling,Standing Sun,California City,35.124896,-117.966819
70,US,"Warm spice, vanilla and cedar tones accent blackberry and cherry on the nose of this ripe, luxurious Merlot. Fleshy black fruits are densely concentrated on the palate, refreshed by a cool menthol breeze that extends through the finish. Powerful tannins linger.",,89,20.0,New York,North Fork of Long Island,Long Island,Benmarl 2013 Merlot (North Fork of Long Island),Merlot,Benmarl,New York,40.799948,-73.95119
73,US,"Heady aromas of black cherry, red and purple flowers and a strong cinnamon, Red Hot candy-like spice show on the nose of this bottling from a winery recently reinvigorated thanks to winemaker Colin Murphy. Spicy red fruit flavors pop on the palate, which is framed by firm tannins and also shows rosewater, hibiscus and crushed gravel.",,88,30.0,California,Santa Ynez Valley,Central Coast,Koehler 2013 Sangiovese (Santa Ynez Valley),Sangiovese,Koehler,California City,35.132816,-117.937028
80,Italy,"Truffle, leather, Mediterranean brush, chopped herb and black-skinned fruit aromas meld together with a balsamic note. The juicy, concentrated palate shows dried cherry, crushed raspberry, cinnamon and licorice while fine-grained tannins lend support. Give it time for the tannins to fully integrate. Drink 2020–2030.",,92,60.0,Tuscany,Brunello di Montalcino,,La Magia 2012  Brunello di Montalcino,Sangiovese,La Magia,Montalcino,43.05397,11.48853
81,US,"Rounded by small amounts of Merlot, Malbec and Petit Verdot, this Cab is earthy and lean on entry, before developing in the glass into juicy dark cherry and leathery notes. Smooth, integrated oak and tannin leave an impression in terms of texture, with a persistence of tannin on the finish.",,90,53.0,California,Napa Valley,Napa,Stags' Leap Winery 2012 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stags' Leap Winery,California City,35.113893,-117.982087
84,France,"This is a rich and rounded wine, full of yellow fruits that shine through the tense texture. It is ripe, showing minerality as well as tropical fruits and red apples. The wine is going to age relatively quickly, so drink from 2019.",Les Preuses Grand Cru,93,91.0,Burgundy,Chablis,,Chanson Père et Fils 2013 Les Preuses Grand Cru  (Chablis),Chardonnay,Chanson Père et Fils,Chablis,47.81386,3.79835
86,France,"This is a cool wine, with acidity and citrus fruits well in evidence. It comes from one of the higher premier-cru vineyards, giving a crisp and textured wine even in this warm vintage. It needs time. Drink from 2020.",Goutte d'Or Premier Cru,93,90.0,Burgundy,Meursault,,Louis Latour 2015 Goutte d'Or Premier Cru  (Meursault),Chardonnay,Louis Latour,Meursault,46.97822,4.76952
88,US,"As always, the historic winery produces a nuanced, restrained style, with a subdued nose of berries and balsamic reduction. It's light and bright on the palate, with chicory and woody tones and medium-ripe cherry fruit, a perfect partner to varied foods.",Côtes de Tablas Estate Grown & Bottled,90,35.0,California,Paso Robles,Central Coast,Tablas Creek 2012 Côtes de Tablas Estate Grown & Bottled Red (Paso Robles),Rhône-style Red Blend,Tablas Creek,Paso Robles,35.62664,-120.691
96,France,"With great richness, almost opulence, great ripe red fruits are folded into a powerful dark structure. The tannins are right up front, long-lasting and very structured. The final acidity offers freshness to a wine that will need aging.",Les Beaux-Monts,94,236.0,Burgundy,Vosne-Romanée,,Domaine Dujac 2009 Les Beaux-Monts  (Vosne-Romanée),Pinot Noir,Domaine Dujac,Vosne-Romanée,47.16024,4.95484
99,US,"What a fine Syrah this is. It's the color of midnight on a moonless night, with just a hint of ruby purple at the rim. The aromatics are closed, but provide tantalizing hints of cedar, jam and pepper. It's in the mouth that this young wine shows its stuff, erupting with sweet chocolate, intensely ripe blackberries and savory smoked meat. The tannins close in on the finish, suggesting that the wine needs time. Don't even think of popping the cork before 2016.",Estate Grown,94,42.0,California,Oakville,Napa,Turnbull 2010 Estate Grown Syrah (Oakville),Syrah,Turnbull,Antioch,37.96475,-121.814687
104,Italy,"Made of 70% Sangiovese, 20% Cabernet Sauvignon and 10% Merlot, this offers black currant and vanilla aromas. The dense, approachable palate delivers ripe black plum and toasty tobacco flavors, pulled taut by firm tannins. Drink through 2019.",Il Circo Rosso Riserva,89,30.0,Tuscany,Carmignano,,Pratesi 2013 Il Circo Rosso Riserva  (Carmignano),Red Blend,Pratesi,Carmignano,43.81027,11.01494
109,US,"The descriptor Deep Red perfectly captures the essence of this blend of Petite Sirah, Zinfandel, Syrah and Grenache. It's rich and full-bodied, with expressive, complex red wine flavors of red and black currants, spiced red plums, crushed pepper and hints of dark chocolate and anise. The tannic structure is wonderfully soft and intricate. Drink this beautiful wine now and for the next several years.",Deep Red,92,40.0,California,Mendocino,,Paul Dolan 2005 Deep Red Red (Mendocino),Red Blend,Paul Dolan,Mendocino,39.30767,-123.79946
112,Italy,"Floral scents of iris and rose meld together with wild berry, chopped mint and a balsamic note. The elegantly structured, full-bodied palate presents juicy black cherry, crushed raspberry, white pepper and licorice alongside firm, fine-grained tannins. Drink 2018–2025.",,94,60.0,Piedmont,Barolo,,Pietro Rinaldi 2012  Barolo,Nebbiolo,Pietro Rinaldi,Barolo,44.61094,7.94284
118,US,"Fogarty's basic '05 Chard shows an exciting crispness and minerality that, good as it is, makes you long for the single-vineyard bottlings to come. There's an elegant angularity to the wine despite the succulent pineapples, kiwis and new oak, and a brisk acidity that makes it finish vibrantly clean.",,90,28.0,California,Santa Cruz Mountains,Central Coast,Thomas Fogarty 2005 Chardonnay (Santa Cruz Mountains),Chardonnay,Thomas Fogarty,Thermal,33.397168,-116.038724
119,France,"Firm from the start, the wine then shows both ripe red-berry fruit and a dense structure. There's an herbal edge that will soften in the next 2–3 years, bringing out the richness of Chambolle.",,89,80.0,Burgundy,Chambolle-Musigny,,Louis Latour 2010  Chambolle-Musigny,Pinot Noir,Louis Latour,Chambolle-Musigny,47.18607,4.9521
126,France,"Bone dry and crisp, this is also has fruitiness from the ripeness of the grapes, giving impressively rich apple and pear flavors. Of course, these are cut by tight acidity and intense citrus, leaving a tight, steely aftertaste.",Dosage Zéro Brut Nature,89,49.0,Champagne,Champagne,,A.R. Lenoble  NV Dosage Zéro Brut Nature  (Champagne),Champagne Blend,A.R. Lenoble ,Champagné,48.02185,0.33096
132,Italy,"Ripe plum, game, truffle, leather and menthol are some of the aromas you'll find on this earthy wine. The tightly wound palate offers dried black cherry, chopped sage, mint and roasted coffee bean alongside raspy tannins that leave a mouth-drying finish.",,87,40.0,Tuscany,Brunello di Montalcino,,Poggiarellino 2011  Brunello di Montalcino,Sangiovese,Poggiarellino,Montalcino,43.05397,11.48853
133,US,"Peach and blossom notes abound on this delightfully fresh fruity wine. Its sunny stone-fruit flavors are concentrated and juicy, balanced against zesty lime acidity and a meandering pollen finish. Sprightly in texture yet buoyant.",Semi Dry,90,17.0,New York,Finger Lakes,Finger Lakes,Keuka Spring 2016 Semi Dry Riesling (Finger Lakes),Riesling,Keuka Spring,New York,40.721308,-73.994706
134,Italy,"Aromas of ripe red berry, cake spice, tilled earth and a balsamic note unfold on this structured, elegant red. On the full-bodied palate, notes of mint, anise and a hint of mocha accent the juicy black cherry core while firm but refined tannins provide the framework. Drink 2018–2031.",Prapò,93,70.0,Piedmont,Barolo,,Germano Ettore 2011 Prapò  (Barolo),Nebbiolo,Germano Ettore,Barolo,44.61094,7.94284
135,Italy,"This earthy Brunello leads with aromas of underbrush, mushroom, bay leaf, cherry and Mediterranean herbs. The palate offers juicy black cherry and ripe raspberry punctuated with cinnamon-spice, vanilla, mocha and licorice alongside smoothed but fleeting tannins. It's nicely crafted and boasts decent freshness for the vintage.",,90,26.0,Tuscany,Brunello di Montalcino,,Corte dei Venti 2009  Brunello di Montalcino,Sangiovese,Corte dei Venti,Montalcino,43.05397,11.48853
137,US,"Ripe, opulent blackberry, cherry, butterscotch and vanilla bean flavors mark this soft wine. You can drink it now with everyday fare like beef tacos and cheeseburgers.",California Square,85,23.0,California,Paso Robles,Central Coast,Truett Hurst 2012 California Square Red (Paso Robles),Red Blend,Truett Hurst,Thousand Oaks,34.205273,-118.892913
145,US,"A good, basic wine, this has a mix of fruity and vegetal aromas, tart cherry and watermelon flavors, firm texture with moderate tannins, medium body and a slightly astringent finish.",California Series,84,14.0,California,California,California Other,Cambridge & Sunset 2013 California Series Pinot Noir (California),Pinot Noir,Cambridge & Sunset,Novato,38.0844587,-122.5630139
146,US,"When the Craig style of extreme ripeness works, it's decadently delicious. When it doesn't, the wines can be tired. This '06 Bordeaux blend hovers in the middle. It's superrich in black currants and milk chocolate, yet has a melted feeling that needs greater tannin-acid structure.",Affinity,86,48.0,California,Napa Valley,Napa,Robert Craig 2006 Affinity Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Robert Craig,California City,35.113893,-117.982087
147,Italy,"Funky aromas of game, truffle and a faint whiff of barnyard carry over to the medium-bodied palate along with black cherry jam, cinnamon and a hint of vanilla. A salty note closes the finish. It's surprisingly ripe for the vintage, with chewy tannins and an immediate if somewhat rustic charm.",Roere di Santa Maria,89,54.0,Piedmont,Barolo,,Monchiero 2013 Roere di Santa Maria  (Barolo),Nebbiolo,Monchiero,Barolo,44.61094,7.94284
149,US,"An enormously fruity wine, it's impressive in Meyer lemons, limes, apricots, mangoes and vanilla, succulent and savory, and brightened by acidity. With almost the weight of an oak-aged Chardonnay, it shouldn't be opened too cold. Pair it with everything from ham and sausages and broiled chicken to arroz con pollo and Thai pork and peanut curry.",Reserve,89,50.0,California,Calistoga,Napa,Envy 2012 Reserve Sauvignon Blanc (Calistoga),Sauvignon Blanc,Envy,Sylmar,34.287907,-118.45284
156,US,"Moss and wet earth aromas accent a dark, bramble berry core. The medium-bodied palate is supported by supple tannins and shows adequate concentration of cherry and blackberry tones, enlivened by a streak of granite.",Josie's Knoll,88,22.0,Virginia,Monticello,,Lovingston 2013 Josie's Knoll Cabernet Franc (Monticello),Cabernet Franc,Lovingston,Springfield,38.78654,-77.169736
158,France,This ripe blackberry-flavored wine is deliciously ready to drink. It has soft tannins and a smooth texture that is now just right. The acidity and the jammy aftertaste make the wine attractive.,,87,15.0,Bordeaux,Bordeaux Supérieur,,Château Vrai Caillou 2014  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Vrai Caillou,Bordeaux,44.84044,-0.5805
159,US,"This off-dry Riesling seems herbal on the nose with a hint of fresh cut grass and bark, but in the mouth, it's all bright, ripe tropical fruits and tangerine. Medium bodied with a racy acidity to offset the sweetness.",,85,16.0,New York,Finger Lakes,Finger Lakes,Swedish Hill 2009 Riesling (Finger Lakes),Riesling,Swedish Hill,Wayland,42.580382,-77.65196
162,US,This estate wine has 10% Merlot and 4% Cabernet Sauvignon and is made in small quantities. Big-boned tannins surround puckering red fruit like currant and cassis before a brawny dusting of clove and black pepper hit on the finish.,,87,50.0,California,Napa Valley,Napa,Davis Estates 2012 Cabernet Franc (Napa Valley),Cabernet Franc,Davis Estates,Napa,38.296125,-122.274227
163,US,"This wine has a bright, lively texture and tasty, ripe fruit flavors that don't overdo it. A sense of crispness and tanginess will make it versatile for food pairing.",,87,12.0,California,Lodi,Central Valley,Gen5 2014 Chardonnay (Lodi),Chardonnay,Gen5,Lodi,38.1302,-121.27245
166,US,"Earthy black tea and clove are the highlights in this medium-bodied, moderately oaked wine, a fruity undercurrent of black cherry and strawberry lifting the savory, sassy elements to a bright core.",Kaufman Sunnyslope Vineyard,89,42.0,California,Sonoma Mountain,Sonoma,WillowBrook Cellars 2014 Kaufman Sunnyslope Vineyard Pinot Noir (Sonoma Mountain),Pinot Noir,WillowBrook Cellars,Santa Rosa,38.368166,-122.610989
167,Italy,"Leather, truffle, wild berry and scorched earth aromas take center stage along with toasted oak. The firm, one-dimensional palate delivers dried black cherry, raisin and clove alongside assertive tannins that leave a drying finish.",Quarantacinque Riserva,89,99.0,Piedmont,Barbaresco,,Rattalino 2011 Quarantacinque Riserva  (Barbaresco),Nebbiolo,Rattalino,Barbaresco,44.72324,8.08194
172,US,"Gravelly texture supports rich yet balanced baked apple and anise flavors in this hugely appealing wine from old vines in one of the producer's estate vineyards. As it opens, more floral components come to life, recalling jasmine and apple blossom, feeling high-toned and refreshing.",,93,27.0,California,Sonoma Coast,Sonoma,Gundlach Bundschu 2015 Chardonnay (Sonoma Coast),Chardonnay,Gundlach Bundschu,Kenwood,38.414811,-122.546653
175,Italy,"Rose, blue flower, wild berry and freshly chopped herb lead the nose along with a whiff of espresso. The firmly structured palate doles out tart cherry, crushed strawberry, white pepper and clove alongside a backbone of astringent tannins that generate a mouth-drying finish. A note of roasted coffee bean signals the close. Drink 2020–2028.",La Villa,89,52.0,Piedmont,Barolo,,Fratelli Seghesio 2012 La Villa  (Barolo),Nebbiolo,Fratelli Seghesio,Barolo,44.61094,7.94284
180,US,"Very rich and unctuous, this superripe bottling has buttery honey and hints of English breakfast tea notes that add flavor interest to the sweet, almost sugary Riesling.",Icewine,86,28.0,Washington,Yakima Valley,Columbia Valley,Airfield Estates 2006 Icewine Riesling (Yakima Valley),Riesling,Airfield Estates,Yakima,46.547726,-120.476597
186,US,"Smoke and mineral notes lend a prominent savory tone to this wine, contrasting a palate that's sunny and sweet with pressed apple and pear flavors. It's straightforward in style, but refreshing with bright lemon acidity and a lasting iced-tea sweetness.",3rd Degree Late Harvest Sweet,86,15.0,New York,Seneca Lake,Finger Lakes,Four Degrees of Riesling 2012 3rd Degree Late Harvest Sweet Riesling (Seneca Lake),Riesling,Four Degrees of Riesling,New York,40.731289,-73.990389
187,US,This Zin is too sweet and simple. Tastes like raspberry tea with a couple spoons of white sugar.,Old Vine,82,14.0,California,California,California Other,Zin 91 2010 Old Vine Zinfandel (California),Zinfandel,Zin 91,Greenfield,36.333657,-121.235582
194,US,"This has a white pepper flavor, plus acids and green tannins that join forces to make the palate feel jagged. With its berry and currant flavors, this needs to be paired with rich meats and cheeses for balance.",,84,10.0,California,California,California Other,Dancing Bull 2011 Zinfandel (California),Zinfandel,Dancing Bull,California City,35.125624,-118.021353
206,France,"Here is a huge ripe and luxurious wine, with great power. The texture is solid, filled with firm tannins, the flavors are black and ripe. Along with the power, though, is much of the elegance and poise that characterizes great Saint-Julien.",,95,40.0,Bordeaux,Saint-Julien,,Château Branaire-Ducru 2000  Saint-Julien,Bordeaux-style Red Blend,Château Branaire-Ducru,Bordeaux,44.84044,-0.5805
207,Italy,"Firm and refined, this opens with aromas of wild berry, leather, game and a note of chopped herb. The round, full-bodied palate delivers ripe black cherry, clove, toast, mint and licorice alongside ripe, velvety tannins and fresh acidity. It should develop more complexity over the next decade. Drink 2016–2026.",Cerretta,94,103.0,Piedmont,Barolo,,Ca'Romè 2011 Cerretta  (Barolo),Nebbiolo,Ca'Romè,Barolo,44.61094,7.94284
213,Spain,"A sappy wild-berry aroma turns mulchy with airing. The palate feels sharp and puckery, with very high acidity that creates short, tart, ultrajuicy raspberry and red plum flavors.",Crianza,81,15.0,Central Spain,La Mancha,,Finca Antigua 2008 Crianza Red (La Mancha),Red Blend,Finca Antigua,Central,42.46721,0.99117
216,Italy,"Darkly colored, this wine opens with aromas of menthol, espresso and plum. The one-dimensional palate is surprisingly dense for the vintage, offering black cherry, espresso and clove alongside polished tannins.",,87,27.0,Tuscany,Rosso di Montalcino,,La Fiorita 2014  Rosso di Montalcino,Sangiovese,La Fiorita,Montalcino,43.05397,11.48853
217,Italy,"Crisp and light with pretty mineral dustings behind the ripe peach and melon aromas, this Gavi shows a full and generous style. Its nicest quality is that it offers both softness in the mouth and elegance on the bouquet.",Le Marne,87,19.0,Piedmont,Gavi,,Michele Chiarlo 2011 Le Marne  (Gavi),Cortese,Michele Chiarlo,Gavi,44.68627,8.80717
219,Italy,"This wine's underbrush, menthol, dried herb and game aromas follow through to the firm, linear palate, along with sour cherry, pomegranate, espresso and clove flavors. Tightly woven tannins provide grip while a star anise note marks the close.",San Stunet,88,60.0,Piedmont,Barbaresco,,Piero Busso 2013 San Stunet  (Barbaresco),Nebbiolo,Piero Busso,Barbaresco,44.72324,8.08194
225,Italy,"Iris, rose petal, fresh red berry and chopped mint aromas mingle together on this stunning red. The vibrant palate delivers crushed raspberry, red cherry, baking spice and star anise. Firm polished tannins provide structure and impeccable balance. Drink 2018–2028.",Reyna,93,42.0,Piedmont,Barbaresco,,Michele Chiarlo 2013 Reyna  (Barbaresco),Nebbiolo,Michele Chiarlo,Barbaresco,44.72324,8.08194
226,US,"A little sweet and jammy in apicots, pineapples and limes, with a sugary finish. But acidity is just fine. Try with Vietnamese and Chinese pork, fish and chicken dishes whose sauces are sugared.",,84,15.0,California,California,California Other,Seven Daughters NV Sauvignon Blanc (California),Sauvignon Blanc,Seven Daughters,California City,35.125624,-118.021353
228,US,"Standard Napa Valley Chardonnay, with citrus, peach and herb flavors, enriched with all the bells and whistles of oak, malolactic fermentation and lees aging, and balanced with brisk, lemony acidity.",Estate Bottled,85,34.0,California,Yountville,Napa,Bell 2012 Estate Bottled Chardonnay (Yountville),Chardonnay,Bell,Santa Margarita,35.27822,-119.867401
232,Italy,"Steeped plum, baked earth, grilled herb and tobacco aromas come together on this structured wine. The savory palate offers rich black cherry, mocha, clove, dried herb and licorice alongside firm, ripe tannins. Drink after 2018.",del Comune di Serralunga d'Alba,93,75.0,Piedmont,Barolo,,Rivetto 2011 del Comune di Serralunga d'Alba  (Barolo),Nebbiolo,Rivetto,Barolo,44.61094,7.94284
233,US,"This is a Merlot-dominant blend, with 30% Cabernet Sauvignon and 15% Cabernet Franc blended in. It offers cooler-climate elements of dried herb, cedar and currant, with the tannins sleek and polished. The finish flirts with a taste of coconut. Drink now through 2021.",Arise,91,54.0,California,Napa Valley,Napa,Blackbird Vineyards 2013 Arise Red (Napa Valley),Red Blend,Blackbird Vineyards,California City,35.113893,-117.982087
236,Italy,"Made with 100% Merlot, this has subdued aromas suggesting ripe red berry and dark spice. The one-dimensional palate isn't very expressive, offering hints of dried plum and clove alongside rather evolved tannins.",,86,40.0,Tuscany,Toscana,,Vignamaggio 2013 Merlot (Toscana),Merlot,Vignamaggio,Greve in Chianti,43.5565855,11.3370315
237,US,"The aromas pop with notes of fresh flowers, smoked meat, stems, mineral, smoke, white pepper and an earthy funk. The flavors dance on the palate, with mouthwatering fruit and savory notes that lead to an outrageously long finish. It's equal parts elegance and intensity.",La Paciencia Vineyard,94,75.0,Washington,Walla Walla Valley (WA),Columbia Valley,No Girls 2013 La Paciencia Vineyard Grenache (Walla Walla Valley (WA)),Grenache,No Girls,Valley,48.177229,-117.723582
241,US,"Intriguing lemongrass, Asian pear, chamomile, jasmine and pink grapefruit aromas arise on the nose of this dynamic single-block bottling. Tons of energy show on the sip, which is light and yet offers lots of intriguing flavors, from white sesame and chalk to lime peels and grippy yellow grapefruit pithiness.",Block UU Bien Nacido Vineyard,94,35.0,California,Santa Maria Valley,Central Coast,Foxen 2015 Block UU Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Foxen,Santa Maria,34.878189,-120.452242
243,US,"There are multiple Freedom Hill selections in this winery's 2015 lineup, but the Pommard clone bottling expresses more of the site's brambly wildness along with its lusciously fruity raspberry flavors. Texture and length elevates it above much of the competition.",Freedom Hill Vineyard Pommard Clone,93,48.0,Oregon,Willamette Valley,Willamette Valley,Patricia Green Cellars 2015 Freedom Hill Vineyard Pommard Clone Pinot Noir (Willamette Valley),Pinot Noir,Patricia Green Cellars,West Linn,45.349809,-122.676436
